	Swedish	Icelandic	Estonian	Turkish	Twi	Sardinian	Romansch Ladina	Dutch	Danish	Latin	Hungarian	Norwegian	Welsh	Lithuanian	French	Catalan	Maltese	Afrikaans	Scots Gaelic	Slovene	Finnish	Latvian	English	Italian	Portuguese	Irish	German	Spanish (Lat. Am.)	Strine	Croatian	Spanish (Spain)	Czech / Slovak	Basque	Polish	Esperanto	Occitan	Breton
Swedish	0.0	0.5625	0.6	0.903225806452	0.863636363636	0.923076923077	0.825	0.666666666667	0.8125	0.826086956522	1.0	0.153846153846	0.875	0.916666666667	0.945945945946	1.0	0.785714285714	0.772727272727	0.972222222222	0.9375	0.941176470588	0.947368421053	1.0	0.714285714286	0.875	0.90625	0.928571428571	0.90243902439	0.958333333333	0.911764705882	0.909090909091	0.931034482759	0.944444444444	0.931034482759	0.7	0.948717948718	0.921052631579
Icelandic	0.5625	0.0	0.761904761905	0.75	0.851063829787	0.785714285714	0.895833333333	0.678571428571	0.952380952381	0.871794871795	0.730769230769	0.529411764706	0.888888888889	0.84375	0.870967741935	0.976744186047	0.733333333333	0.68	0.838709677419	0.914285714286	0.918918918919	0.8125	0.764705882353	0.766666666667	0.733333333333	0.787878787879	0.666666666667	0.766666666667	0.928571428571	0.891891891892	0.794871794872	0.90625	0.923076923077	0.942857142857	0.78125	0.9	0.853658536585
Estonian	0.6	0.761904761905	0.0	0.758620689655	0.865384615385	0.904761904762	0.895833333333	0.880952380952	0.815789473684	0.860465116279	0.870967741935	0.6	0.65625	0.820512820513	0.709677419355	0.842105263158	0.844444444444	0.766666666667	0.955555555556	0.864864864865	0.75	0.633333333333	0.875	0.678571428571	0.88	0.894736842105	0.885714285714	0.886363636364	0.714285714286	0.666666666667	0.893617021277	0.761904761905	0.897435897436	0.941176470588	0.913043478261	0.928571428571	0.840909090909
Turkish	0.903225806452	0.75	0.758620689655	0.0	0.756756756757	0.730769230769	0.705882352941	0.620689655172	0.75	0.68	0.925	0.9	0.88	0.866666666667	0.645161290323	0.78125	0.911111111111	0.545454545455	0.93023255814	0.833333333333	0.8	0.904761904762	0.703703703704	0.642857142857	0.8	0.957446808511	0.608695652174	0.758620689655	0.916666666667	0.846153846154	0.895833333333	0.818181818182	0.9	0.894736842105	0.769230769231	0.93023255814	0.735294117647
Twi	0.863636363636	0.851063829787	0.865384615385	0.756756756757	0.0	0.879310344828	0.611111111111	0.666666666667	0.901639344262	0.847826086957	0.912280701754	0.860465116279	0.83606557377	0.862068965517	0.666666666667	0.7	0.605263157895	0.648648648649	0.74358974359	0.717948717949	0.862745098039	0.822222222222	0.783783783784	0.866666666667	0.870967741935	0.913793103448	0.742857142857	0.866666666667	0.869565217391	0.736842105263	0.873015873016	0.75	0.782608695652	0.675675675676	0.621621621622	0.684210526316	0.55
Sardinian	0.923076923077	0.785714285714	0.904761904762	0.730769230769	0.879310344828	0.0	0.515151515152	0.705882352941	0.794871794872	0.829787234043	0.794117647059	0.921052631579	0.872727272727	0.847826086957	0.515151515152	0.675675675676	0.875	0.692307692308	0.941176470588	0.62962962963	0.823529411765	0.888888888889	0.653846153846	0.310344827586	0.454545454545	0.913043478261	0.653846153846	0.433333333333	0.90243902439	0.666666666667	0.545454545455	0.777777777778	0.805555555556	0.689655172414	0.5625	0.676470588235	0.606060606061
Romansch Ladina	0.825	0.895833333333	0.895833333333	0.705882352941	0.611111111111	0.515151515152	0.0	0.75	0.813953488372	0.826923076923	0.777777777778	0.78125	0.868852459016	0.849056603774	0.486486486486	0.611111111111	0.836734693878	0.705882352941	0.929824561404	0.85	0.794871794872	0.888888888889	0.735294117647	0.558823529412	0.617647058824	0.931034482759	0.714285714286	0.666666666667	0.883720930233	0.867924528302	0.578947368421	0.875	0.851063829787	0.735294117647	0.457142857143	0.647058823529	0.567567567568
Dutch	0.666666666667	0.678571428571	0.880952380952	0.620689655172	0.666666666667	0.705882352941	0.75	0.0	0.794871794872	0.810810810811	0.95652173913	0.692307692308	0.88679245283	0.735294117647	0.607142857143	0.960784313725	0.872340425532	0.375	0.959183673469	0.730769230769	0.828571428571	0.918367346939	0.6	0.645161290323	0.888888888889	0.96	0.6	0.766666666667	0.923076923077	0.741935483871	0.890909090909	0.857142857143	0.914893617021	0.714285714286	0.741935483871	0.92	0.647058823529
Danish	0.8125	0.952380952381	0.815789473684	0.75	0.901639344262	0.794871794872	0.813953488372	0.794871794872	0.0	0.837837837838	0.928571428571	0.806451612903	0.884615384615	0.891304347826	0.829268292683	0.733333333333	0.825	0.828571428571	0.689655172414	0.806451612903	0.931818181818	0.764705882353	0.975609756098	0.907407407407	0.910714285714	0.757575757576	0.794117647059	0.907407407407	0.891891891892	0.914893617021	0.912280701754	0.838709677419	0.938775510204	0.733333333333	0.805555555556	0.918367346939	0.775
Latin	0.826086956522	0.871794871795	0.860465116279	0.68	0.847826086957	0.829787234043	0.826923076923	0.810810810811	0.837837837838	0.0	0.794117647059	0.84375	0.756097560976	0.853658536585	0.666666666667	0.75	0.714285714286	0.741935483871	0.794117647059	0.787878787879	0.864864864865	0.860465116279	0.821428571429	0.851063829787	0.790697674419	0.918367346939	0.862068965517	0.783783783784	0.878787878788	0.652173913043	0.823529411765	0.625	0.868421052632	0.85	0.733333333333	0.833333333333	0.764705882353
